2025-08-08 17:18:24 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 17:18:24 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 17:18:24 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 17:18:24 | INFO     | EtiquetadorZPL | start_monitoring:351 | Validación exitosa. Iniciando monitoreo...
2025-08-08 17:18:25 | INFO     | EtiquetadorZPL | log_message:487 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 17:18:25 | INFO     | EtiquetadorZPL | log_message:487 | 📁 Monitoreando: C:/Users/Usuario/Desktop/Facturas -> WF-C5790 Series(Network)
2025-08-08 17:18:25 | INFO     | EtiquetadorZPL | log_message:487 | 📡 Monitoreo iniciado en 2 carpetas
2025-08-08 17:18:29 | INFO     | EtiquetadorZPL | log_message:487 | 💾 Configuración guardada
2025-08-08 17:20:09 | INFO     | EtiquetadorZPL | log_message:487 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 17:21:50 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
2025-08-08 17:21:52 | INFO     | EtiquetadorZPL | log_message:487 | ✅ Configuración cargada
2025-08-08 17:22:15 | INFO     | EtiquetadorZPL | start_monitoring:330 | Iniciando validación de configuración...
2025-08-08 17:22:15 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 17:22:15 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 17:22:15 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 17:22:15 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 17:22:15 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 17:22:15 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 17:22:15 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 17:22:15 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 17:22:15 | INFO     | EtiquetadorZPL | start_monitoring:351 | Validación exitosa. Iniciando monitoreo...
2025-08-08 17:22:16 | INFO     | EtiquetadorZPL | log_message:487 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 17:22:16 | INFO     | EtiquetadorZPL | log_message:487 | 📁 Monitoreando: C:/Users/Usuario/Desktop/Facturas -> WF-C5790 Series(Network)
2025-08-08 17:22:16 | INFO     | EtiquetadorZPL | log_message:487 | 📡 Monitoreo iniciado en 2 carpetas
2025-08-08 17:23:53 | INFO     | EtiquetadorZPL | log_message:487 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 17:25:40 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
2025-08-08 17:25:41 | INFO     | EtiquetadorZPL | log_message:488 | ✅ Configuración cargada
2025-08-08 17:25:52 | INFO     | EtiquetadorZPL | log_message:488 | 💾 Configuración guardada
2025-08-08 17:25:54 | INFO     | EtiquetadorZPL | start_monitoring:330 | Iniciando validación de configuración...
2025-08-08 17:25:54 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 17:25:54 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 17:25:54 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 17:25:54 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 17:25:54 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 17:25:54 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 17:25:54 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 17:25:54 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 17:25:54 | INFO     | EtiquetadorZPL | start_monitoring:351 | Validación exitosa. Iniciando monitoreo...
2025-08-08 17:25:55 | INFO     | EtiquetadorZPL | log_message:488 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 17:25:55 | INFO     | EtiquetadorZPL | log_message:488 | 📁 Monitoreando: C:/Users/Usuario/Desktop/Facturas -> WF-C5790 Series(Network)
2025-08-08 17:25:55 | INFO     | EtiquetadorZPL | log_message:488 | 📡 Monitoreo iniciado en 2 carpetas
2025-08-08 17:27:44 | INFO     | EtiquetadorZPL | log_message:488 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 17:39:23 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
2025-08-08 17:39:25 | INFO     | EtiquetadorZPL | log_message:488 | ✅ Configuración cargada
2025-08-08 17:39:31 | INFO     | EtiquetadorZPL | start_monitoring:330 | Iniciando validación de configuración...
